STC_RFS_DATE,EQPT_NAME,GOLD_ORDER_NUMBER,IC01_ID,cust_name,OCEANE_Site,OCEANE_Product_Identifier2
"06/10/2021 10:59:29",KHIN30025,10-1218479,686138,"British American Shared Services G",686138_KOR_Sacheon-si_001,"No Data Found"
"06/10/2021 11:48:38",ALON31372,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/03/2021 10:00:12",KBRU39040,,9594,"GlaxoSmithKline Services Unlimited",9594_BEL_Wavre_003,"No Data Found"
"06/11/2021 14:13:32",AWUX30927,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
NULL,AQNC009,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/10/2021 11:48:38",KLON31265,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/08/2021 13:29:33",AZAG30053,10-1250848,686138,"British American Shared Services G","No Data Found","No Data Found"
NULL,ASIN088,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/10/2021 11:24:32",AQKH30090,10-1218472,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/01/2021 23:48:15",KQCM30037,10-1273509,1908,"Akzo Nobel Sourcing BV",1908_ITA_Como_00001,"No Data Found"
"06/07/2021 12:29:11",KHOV1023,10-1322831,680714,"Mowi ASA",680714_NOR_Folkestad_001,"No Data Found"
"06/24/2021 12:13:07",KFRA30681,,9594,"GlaxoSmithKline Services Unlimited",GSK-DEU-MRB-2,"No Data Found"
"04/15/2021 10:42:23",KMAD1400,10-1242790,30075,"Philip Morris International",30075_ESP_Madrid_002,"No Data Found"
"06/09/2021 12:54:22",ACPT30151,10-1234174,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:22:41",ANTR30137,10-1217531,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:22:41",KNTR30028,10-1217531,686138,"British American Shared Services G",686138_MEX_Monterrey_002,"No Data Found"
"06/09/2021 11:22:41",ANTR30124,10-1217531,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/16/2021 16:13:09",ADMM30038,10-1092978,686387,"Saipem SpA","686387_SAU_Al Ahsa_002","No Data Found"
"06/09/2021 11:22:41",KNTR30030,10-1217531,686138,"British American Shared Services G",686138_MEX_Monterrey_002,"No Data Found"
"06/09/2021 13:02:55",ASKD30034,10-1250851,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",ABYU30513,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",ABYU30436,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",ABYU30427,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",KBYU30375,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/01/2021 17:05:23",KPHL1796,,9594,"GlaxoSmithKline Services Unlimited",GSK-USA-US1-01,"No Data Found"
"04/16/2021 13:38:37",ASOU30718,10-1217915,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/16/2021 13:38:37",KSOU30004,10-1217915,686138,"British American Shared Services G",686138_GBR_Southampton_001,"No Data Found"
"06/10/2021 08:03:13",AABZ029,,9594,"GlaxoSmithKline Services Unlimited",GSK-GBR-MSE,"No Data Found"
"06/01/2021 17:05:23",ALGW146,,9594,"GlaxoSmithKline Services Unlimited",GSK-USA-US1-01,"No Data Found"
"06/10/2021 08:03:13",ADND007,,9594,"GlaxoSmithKline Services Unlimited",GSK-GBR-MSE,"No Data Found"
"06/10/2021 08:03:13",ADND009,,9594,"GlaxoSmithKline Services Unlimited",GSK-GBR-MSE,"No Data Found"
"06/16/2021 13:13:27",ARIO30308,10-1331897,9594,"GlaxoSmithKline Services Unlimited","9594_BRA_Rio de Janeiro_MIG_00","No Data Found"
"06/09/2021 11:53:27",AKIS30045,10-1218008,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/10/2021 12:17:23",AHIR30012,10-1217413,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/20/2021 17:03:02",KWAW1010,10-1315887,30075,"Philip Morris International",PL-WAW-HQO,"No Data Found"
"06/11/2021 14:13:32",AWUX30734,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/11/2021 14:13:32",AWUX30776,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/23/2021 22:00:00",KPAR30119,10-1326238,689068,"Otis Elevator Company",689068_FRA_Argenteuil_001,"No Data Found"
"06/20/2021 17:03:02",KWAW1103,10-1315887,30075,"Philip Morris International",PL-WAW-HQO,"No Data Found"
